start_date,end_date,pollster_client,area,sample_size,brexit,change_uk,conservative,green,labour,liberal_democrat,plaid_cymru,scottish_national_party,ukip,other
2019-11-13,2019-11-14,SavantaComRes/The Sunday Telegraph,GB,2052,0.05,NA,0.41,0.02,0.33,0.14,0,0.03,NA,0.02
2019-11-13,2019-11-14,Panelbase,GB,1021,0.05,NA,0.43,0.02,0.3,0.15,0,0.04,NA,0.01
2019-11-11,2019-11-12,SavantaComRes/The Daily Telegraph,GB,2022,0.07,NA,0.4,0.03,0.3,0.16,0,0.04,NA,0
2019-11-11,2019-11-12,YouGov/The Times/Sky News,GB,1619,0.04,NA,0.42,0.04,0.28,0.15,0.01,0.03,NA,0.03
2019-11-08,2019-11-11,ICM Research,GB,2035,0.08,NA,0.39,0.03,0.31,0.15,0,0.03,NA,0.01
2019-11-07,2019-11-11,Kantar,GB,1165,0.09,0.01,0.37,0.03,0.27,0.17,0.01,0.03,0.01,0.01
2019-11-08,2019-11-10,ComRes/Britain Elects,GB,2014,0.09,NA,0.37,0.03,0.29,0.17,0,0.04,NA,0.01
2019-11-06,2019-11-09,Deltapoll/The Mail on Sunday,GB,1518,0.06,0,0.41,0.02,0.29,0.16,0,0.03,0.01,0.02
2019-11-07,2019-11-08,YouGov/The Sunday Times,GB,1598,0.1,NA,0.39,0.04,0.26,0.17,0,0.04,NA,0
2019-11-06,2019-11-08,Survation,UK,2037,0.1,NA,0.35,0.01,0.29,0.17,0.01,0.04,NA,0.03
2019-11-06,2019-11-08,Opinium/The Observer,GB,2001,0.06,NA,0.41,0.02,0.29,0.15,0.01,0.05,NA,0.01
2019-11-06,2019-11-08,Panelbase,GB,1046,0.08,NA,0.4,0.03,0.3,0.15,0,0.04,NA,0
2019-11-05,2019-11-08,BMG/The Independent,GB,1504,0.09,NA,0.37,0.07,0.29,0.16,0,0.02,NA,0
2019-11-05,2019-11-06,YouGov/The Times/Sky,GB,1667,0.11,NA,0.36,0.05,0.25,0.17,0.01,0.04,NA,0.01
2019-10-30,2019-11-05,ComRes/Remain United,GB,6097,0.11,0,0.36,0.03,0.29,0.17,0.01,0.04,0,-0.01
2019-11-01,2019-11-04,YouGov/The Times,GB,3284,0.11,0,0.38,0.05,0.25,0.16,0.01,0.04,0,0
2019-11-01,2019-11-04,ICM Research/Reuters,GB,2047,0.09,0,0.38,0.03,0.31,0.15,0,0.03,0.01,0
2019-10-31,2019-11-02,Deltapoll/The Mail on Sunday,GB,1500,0.11,0,0.4,0.02,0.28,0.14,0.01,0.03,0.01,0
2019-10-30,2019-11-01,Opinium/The Observer Archived 3 November 2019 at the Wayback Machine,GB,2004,0.09,0,0.42,0.02,0.26,0.16,0.01,0.04,0,0
2019-10-30,2019-11-01,YouGov/The Sunday Times,GB,1834,0.07,0,0.39,0.04,0.27,0.16,0.01,0.05,0,0.01
2019-10-30,2019-10-31,ComRes/Sunday Express,GB,2032,0.1,0,0.36,0.03,0.28,0.17,0,0.04,0,0.02
2019-10-30,2019-10-31,ORB/The Sunday Telegraph,GB,2025,0.12,0,0.36,0.04,0.28,0.14,0,0.05,0,0.01
2019-10-30,2019-10-31,Panelbase,GB,1008,0.09,0,0.4,0.03,0.29,0.14,0,0.03,0,0.02
2019-10-29,2019-10-30,YouGov/The Times,GB,1750,0.13,0,0.36,0.06,0.21,0.18,0.01,0.04,0,0.01
2019-10-29,2019-10-30,Survation/Daily Mail,UK,1010,0.12,0,0.34,0.01,0.26,0.19,0,0.04,0,0.04
2019-10-25,2019-10-28,Ipsos MORI/Evening Standard,GB,1007,0.07,0,0.41,0.03,0.24,0.2,0.01,0.04,0,0
2019-10-17,2019-10-28,YouGov,GB,11590,0.12,0,0.36,0.06,0.22,0.19,0.01,0.04,0,0
2019-10-24,2019-10-25,YouGov/The Times,GB,1672,0.12,0,0.36,0.06,0.23,0.18,0.01,0.04,0,0
2019-10-23,2019-10-25,Opinium/The Observer,GB,2001,0.1,0,0.4,0.03,0.24,0.15,0,0.05,0.01,0.02
2019-10-20,2019-10-21,YouGov/The Times,GB,1689,0.11,0,0.37,0.07,0.22,0.19,0.01,0.03,0.01,-0.01
2019-10-18,2019-10-21,Deltapoll,GB,2017,0.11,0,0.37,0.03,0.24,0.19,0.01,0.04,0.01,0
2019-10-17,2019-10-18,Panelbase,GB,1008,0.11,0,0.36,0.03,0.27,0.17,0,0.04,0,0.02
2019-10-17,2019-10-18,Survation/Daily Mail,UK,1025,0.13,0,0.32,0.02,0.24,0.21,0.01,0.04,0,0.03
2019-10-16,2019-10-17,ComRes/Britain Elects,GB,2067,0.12,0,0.33,0.04,0.29,0.18,0.01,0.04,0,-0.01
2019-10-15,2019-10-17,Opinium/The Observer Archived 12 November 2019 at the Wayback Machine,GB,2001,0.12,0,0.37,0.04,0.24,0.16,0.01,0.04,0.02,0
2019-10-14,2019-10-15,YouGov/The Times,GB,1625,0.11,0,0.37,0.05,0.22,0.18,0.01,0.04,0.01,0.01
2019-10-10,2019-10-15,Kantar,GB,1184,0.08,0,0.39,0.03,0.25,0.18,0.01,0.03,0.01,0.02
2019-10-09,2019-10-11,Panelbase/The Sunday Times,GB,2013,0.12,0,0.33,0.03,0.3,0.17,0,0.04,0,0.01
2019-10-09,2019-10-10,ComRes/Daily Express,GB,2018,0.12,0,0.33,0.04,0.27,0.18,0,0.04,0,0.02
2019-10-08,2019-10-09,YouGov/The Times,GB,1616,0.12,0.01,0.35,0.06,0.22,0.2,0.01,0.04,0,-0.01
2019-10-04,2019-10-07,ICM Research/Represent Us,GB,2013,0.11,0,0.35,0.04,0.29,0.16,0.01,0.03,0.01,0
2019-10-04,2019-10-06,ComRes/The Daily Telegraph,GB,2006,0.13,0,0.33,0.03,0.27,0.19,0.01,0.04,0.01,-0.01
2019-10-03,2019-10-04,Opinium/The Observer,GB,2006,0.12,0,0.38,0.04,0.23,0.15,0,0.05,0.01,0.02
2019-10-01,2019-10-04,BMG/The Independent,GB,1514,0.11,0,0.31,0.07,0.26,0.2,0.01,0.03,0,0.01
2019-09-30,2019-10-01,YouGov/The Times,GB,1623,0.12,0,0.34,0.05,0.21,0.23,0.01,0.03,0,0.01
2019-09-26,2019-09-27,YouGov/The Sunday Times,GB,1623,0.13,0,0.33,0.05,0.22,0.21,0.01,0.04,0,0.01
2019-09-25,2019-09-27,Opinium/The Observer Archived 29 September 2019 at the Wayback Machine,GB,2007,0.11,0,0.36,0.02,0.24,0.2,0.01,0.05,0,0.01
2019-09-25,2019-09-25,Survation/Daily Mail,UK,1011,0.16,0,0.27,0.03,0.24,0.22,0,0.04,0,0.04
2019-09-24,2019-09-25,YouGov/The Times,GB,1635,0.14,0,0.33,0.06,0.22,0.22,0.01,0.03,0,-0.01
2019-09-19,2019-09-20,YouGov/People's Vote,GB,2006,0.14,0,0.3,0.05,0.23,0.22,0,0.04,0,0.02
2019-09-19,2019-09-20,Opinium/The Observer,GB,2004,0.12,0,0.37,0.04,0.22,0.17,0.01,0.04,0.02,0.01
2019-09-18,2019-09-19,ComRes/Britain Elects,GB,2050,0.13,0.01,0.29,0.04,0.27,0.2,0,0.04,0,0.02
2019-09-17,2019-09-18,YouGov/The Times,GB,1608,0.14,0,0.32,0.04,0.21,0.23,0.01,0.04,0.01,0
2019-09-13,2019-09-16,Ipsos MORI/Evening Standard,GB,1006,0,0.01,0.33,0.1,0.24,0.23,0.04,0.04,0,0.01
2019-09-11,2019-09-13,Opinium/The Observer,GB,2002,0.13,0,0.37,0.02,0.25,0.16,0.01,0.04,0.01,0.01
2019-09-11,2019-09-12,ComRes/Sunday Express,GB,2057,0.13,0.01,0.28,0.05,0.27,0.2,0.01,0.04,0.01,0
2019-09-09,2019-09-10,YouGov/The Times,GB,1676,0.14,0,0.32,0.07,0.23,0.19,0,0.04,0,0.01
2019-09-05,2019-09-09,Kantar Archived 7 November 2019 at the Wayback Machine,GB,1144,0.07,0.01,0.38,0.03,0.24,0.2,0.01,0.04,0.01,0.01
2019-09-06,2019-09-08,ComRes/The Daily Telegraph,GB,2016,0.13,0,0.3,0.04,0.29,0.17,0.01,0.03,0.01,0.02
2019-09-05,2019-09-07,Deltapoll/The Sun on Sunday,GB,2049,0.13,0,0.31,0.04,0.28,0.17,0.01,0.05,0.01,0
2019-09-05,2019-09-06,YouGov/The Sunday Times,GB,1676,0.12,0,0.35,0.07,0.21,0.19,0,0.04,0.01,0.01
2019-09-05,2019-09-06,Panelbase,GB,1013,0.15,0,0.31,0.02,0.28,0.19,0,0.03,0,0.02
2019-09-05,2019-09-06,Survation/Daily Mail,UK,1006,0.17,0,0.29,0.03,0.24,0.18,0.01,0.04,0,0.04
2019-09-04,2019-09-06,ComRes/Britain Elects,GB,2009,0.13,0,0.31,0.03,0.27,0.2,0.01,0.03,0.01,0.01
2019-09-04,2019-09-06,Opinium/The Observer,GB,2009,0.13,0,0.35,0.03,0.25,0.17,0,0.05,0.01,0.01
2019-09-03,2019-09-06,BMG/The Independent,GB,1504,0.13,0,0.31,0.06,0.27,0.19,0,0.03,0.01,0
2019-09-03,2019-09-04,Hanbury Strategy,GB,995,0.14,0,0.33,0.03,0.26,0.17,0.01,0.04,0,0.02
2019-09-02,2019-09-03,YouGov/The Times,GB,1639,0.11,0,0.35,0.07,0.25,0.16,0.01,0.04,0.01,0
2019-08-30,2019-09-03,ICM Research/Represent Us,GB,2041,0.09,0,0.37,0.04,0.3,0.16,0.01,0.03,0.01,-0.01
2019-08-29,2019-08-31,Deltapoll/The Mail on Sunday,GB,2028,0.14,0.01,0.35,0.04,0.24,0.18,0.01,0.04,0,-0.01
2019-08-29,2019-08-30,Survation/Daily Mail,UK,1020,0.14,0,0.31,0.03,0.24,0.21,0.01,0.04,0,0.02
2019-08-28,2019-08-29,YouGov,GB,1867,0.12,0,0.33,0.07,0.22,0.21,0.01,0.04,0,0
2019-08-27,2019-08-28,YouGov/The Times,GB,2006,0.13,0,0.34,0.08,0.22,0.17,0.01,0.04,0.01,0
2019-08-22,2019-08-23,YouGov/The Sunday Times,GB,2019,0.14,0,0.33,0.07,0.21,0.19,0.01,0.04,0,0.01
2019-08-21,2019-08-23,Opinium/The Observer,GB,2005,0.16,0,0.32,0.04,0.26,0.15,0.01,0.05,0.01,0
2019-08-20,2019-08-21,YouGov/The Times,GB,1687,0.12,0,0.32,0.07,0.22,0.2,0.01,0.04,0,0.02
2019-08-15,2019-08-19,Kantar Archived 21 August 2019 at the Wayback Machine,GB,1133,0.05,0.01,0.42,0.03,0.28,0.15,0,0.05,0,0.01
2019-08-13,2019-08-14,YouGov/The Times,GB,1625,0.14,0,0.3,0.08,0.21,0.2,0.01,0.04,0.01,0.01
2019-08-07,2019-08-12,BMG/The Independent,GB,1515,0.12,0,0.31,0.06,0.25,0.19,0.01,0.03,0.01,0.02
2019-08-09,2019-08-11,ComRes/The Daily Telegraph,GB,2011,0.16,0,0.31,0.04,0.27,0.16,0,0.03,0.01,0.02
2019-08-06,2019-08-11,Survation,UK,2040,0.15,0,0.28,0.03,0.24,0.21,0,0.04,0,0.05
2019-08-08,2019-08-09,Opinium/The Observer,GB,2003,0.16,0,0.31,0.05,0.28,0.13,0.01,0.04,0.01,0.01
2019-08-05,2019-08-06,YouGov/The Times,GB,1628,0.14,0,0.31,0.07,0.22,0.21,0,0.04,0,0.01
2019-07-29,2019-07-30,YouGov/The Times,GB,2066,0.13,0,0.32,0.08,0.22,0.19,0.01,0.04,0,0.01
2019-07-26,2019-07-30,Ipsos MORI,GB,1007,0.09,0,0.34,0.06,0.24,0.2,0.01,0.04,0.01,0.01
2019-07-26,2019-07-28,ComRes/Britain Elects,GB,2004,0.15,0,0.29,0.05,0.3,0.16,0.01,0.03,0.01,0
2019-07-25,2019-07-27,Deltapoll/The Mail on Sunday,GB,2001,0.14,0.02,0.3,0.04,0.25,0.18,0.01,0.04,0.01,0.01
2019-07-25,2019-07-26,YouGov/The Sunday Times,GB,1697,0.13,0,0.31,0.08,0.21,0.2,0.01,0.05,0,0.01
2019-07-24,2019-07-26,Opinium/The Observer,GB,2006,0.15,0,0.3,0.05,0.28,0.16,0.01,0.05,0.01,-0.01
2019-07-24,2019-07-25,ComRes/Sunday Express,GB,2029,0.16,0,0.28,0.04,0.27,0.19,0.01,0.03,0.01,0.01
2019-07-23,2019-07-24,YouGov/The Times,GB,1715,0.17,0,0.25,0.09,0.19,0.23,0.01,0.04,0.01,0.01
2019-07-16,2019-07-17,YouGov/The Times,GB,1749,0.19,0,0.25,0.08,0.21,0.2,0.01,0.04,0,0.02
2019-07-15,2019-07-16,ComRes/Britain Elects,GB,2038,0.19,0.01,0.25,0.05,0.28,0.17,0,0.04,0.01,0
2019-07-10,2019-07-11,ComRes/Sunday Express,GB,1791,0.2,0.01,0.24,0.05,0.28,0.15,0.01,0.03,0.01,0.02
2019-07-10,2019-07-11,Survation,GB,1012,0.2,NA,0.23,0.03,0.29,0.19,0.01,0.04,NA,0.01
2019-07-09,2019-07-10,YouGov/The Times,GB,1671,0.21,0,0.24,0.09,0.2,0.19,0.01,0.05,0,0.01
2019-07-05,2019-07-07,ComRes/The Daily Telegraph,GB,2010,0.19,0,0.25,0.05,0.28,0.16,0,0.03,0.01,0.03
2019-07-03,2019-07-05,Opinium/The Observer,GB,2002,0.22,0.01,0.23,0.08,0.25,0.15,0.01,0.05,0.01,-0.01
2019-07-02,2019-07-05,BMG/The Independent,GB,1532,0.14,0.01,0.28,0.06,0.27,0.18,0.01,0.02,0.02,0.01
2019-07-02,2019-07-03,YouGov/The Times,GB,1605,0.23,0,0.24,0.09,0.18,0.2,0.01,0.04,0,0.01
2019-06-24,2019-06-25,YouGov/The Times,GB,2059,0.22,0,0.22,0.1,0.2,0.19,0.01,0.04,0.01,0.01
2019-06-21,2019-06-25,Ipsos MORI,GB,1043,0.12,0,0.26,0.08,0.24,0.22,0.01,0.04,0.01,0.02
2019-06-19,2019-06-20,Opinium/The Observer,GB,2009,0.23,0.01,0.2,0.06,0.26,0.16,0.01,0.04,0.02,0.01
2019-06-19,2019-06-20,Survation/The Mail on Sunday,GB,2016,0.2,0.01,0.24,0.06,0.26,0.18,0.01,0.03,0.01,0
2019-06-18,2019-06-19,YouGov/The Times,GB,1641,0.23,0,0.2,0.09,0.2,0.21,0.01,0.04,0.01,0.01
2019-06-13,2019-06-14,YouGov/The Sunday Times,GB,1672,0.24,0,0.21,0.09,0.21,0.19,0.01,0.03,0,0.02
2019-06-09,2019-06-10,YouGov/The Times,GB,1702,0.26,0.01,0.17,0.08,0.19,0.22,0.01,0.04,0,0.02
2019-06-07,2019-06-09,ComRes/The Daily Telegraph,GB,2017,0.22,0.01,0.23,0.05,0.27,0.17,0.01,0.03,0.01,0
2019-06-04,2019-06-07,BMG/The Independent,GB,1520,0.18,0.01,0.26,0.06,0.27,0.17,0.01,0.03,0.01,0
2019-06-05,2019-06-06,YouGov/The Times,GB,1670,0.26,0,0.18,0.09,0.2,0.2,0,0.05,0.01,0.01
2019-06-04,2019-06-05,YouGov,GB,1663,0.25,NA,0.18,0.09,0.19,0.22,0,0.04,0,0.03
2019-05-31,2019-06-01,YouGov,GB,1644,0.23,NA,0.18,0.1,0.19,0.23,0,0.05,NA,0.02
2019-05-29,2019-05-30,Deltapoll/The Mail on Sunday,GB,2449,0.24,0.04,0.2,0.05,0.26,0.16,0.01,0.04,0.01,-0.01
2019-05-28,2019-05-30,Opinium/The Observer,GB,2005,0.26,0.01,0.17,0.11,0.22,0.16,0.01,0.04,0.01,0.01
2019-05-28,2019-05-29,YouGov/The Times,GB,1763,0.01,0,0.19,0.22,0.19,0.24,0.08,0.06,0.01,0
2019-05-22,2019-05-22,Survation/Daily Mail,UK,2029,0.12,0.02,0.28,0.03,0.33,0.13,0,0.03,0.03,0.03
2019-05-18,2019-05-21,Number Cruncher Politics,GB,1005,0.14,0.02,0.27,0.04,0.31,0.15,0.01,0.05,0.01,0
2019-05-14,2019-05-21,Panelbase/The Sunday Times,GB,2033,0.19,0.04,0.21,0.05,0.31,0.13,0,0.04,0.03,0
2019-05-17,2019-05-20,Opinium,GB,2005,0.25,0.02,0.22,0.04,0.26,0.12,0.01,0.04,0.02,0.02
2019-05-17,2019-05-17,Survation/Daily Mail,UK,1000,0.13,0.02,0.27,0.03,0.32,0.13,0,0.05,0.02,0.03
2019-05-08,2019-05-17,YouGov/Best for Britain/Hope Not Hate,GB,9260,0.18,0.02,0.24,0.06,0.24,0.18,0.01,0.04,0.02,0.01
2019-05-14,2019-05-16,Opinium/The Observer,GB,2009,0.24,0.03,0.22,0.03,0.29,0.11,0,0.04,0.02,0.02
2019-05-13,2019-05-14,YouGov/The Times,GB,1655,0.02,0.01,0.25,0.18,0.25,0.16,0.07,0.05,0.02,-0.01
2019-05-10,2019-05-14,Ipsos MORI,GB,1072,0.16,0.02,0.25,0.07,0.27,0.15,0.01,0.04,0.03,0
2019-05-09,2019-05-13,Hanbury Strategy/Politico,GB,2000,0.19,0.06,0.21,0.05,0.3,0.13,NA,0.04,0.02,0
2019-05-09,2019-05-13,Kantar Archived 25 May 2019 at the Wayback Machine,GB,1152,0.1,0.01,0.25,0.03,0.34,0.15,0.02,0.05,0.04,0.01
2019-05-10,2019-05-12,ComRes/The Daily Telegraph,GB,2028,0.2,0.06,0.2,0.04,0.27,0.13,0,0.03,0.04,0.03
2019-05-08,2019-05-10,Opinium/The Observer,GB,2004,0.21,0.04,0.22,0.06,0.28,0.11,0,0.04,0.04,0
2019-05-07,2019-05-10,BMG/The Independent,GB,1541,0.1,0.03,0.27,0.06,0.3,0.18,0,0.02,0.03,0.01
2019-05-09,2019-05-09,ComRes/Brexit Express,GB,2034,0.2,0.07,0.19,0.05,0.27,0.14,0.01,0.03,0.03,0.01
2019-05-08,2019-05-09,YouGov/The Times,GB,2212,0.02,0.01,0.24,0.18,0.24,0.16,0.07,0.05,0.02,0.01
2019-05-03,2019-05-07,Opinium/People's Vote,GB,2000,0.17,0.02,0.25,0.05,0.3,0.11,0.01,0.03,0.04,0.02
2019-04-29,2019-04-30,YouGov,GB,1630,0.02,0.01,0.29,0.15,0.29,0.13,0.05,0.04,0.03,-0.01
2019-04-23,2019-04-24,YouGov/The Times,GB,1787,0.04,0.01,0.27,0.14,0.3,0.11,0.05,0.05,0.03,0
2019-04-18,2019-04-24,Panelbase/The Sunday Times,GB,2030,0.13,0.04,0.27,0.03,0.36,0.08,NA,0.04,0.05,0
2019-04-21,2019-04-23,Opinium/The Observer Archived 17 May 2019 at the Wayback Machine,GB,2004,0.17,0.04,0.26,0.04,0.33,0.06,0.01,0.05,0.04,-0
2019-04-16,2019-04-17,ORB/The Daily Telegraph,UK,1546,0.14,0.05,0.26,0.04,0.29,0.08,0.01,0.04,0.05,0.04
2019-04-16,2019-04-17,YouGov/The Times,GB,1755,0.04,0.02,0.29,0.12,0.3,0.1,0.05,0.05,0.03,0
2019-04-16,2019-04-16,ComRes/Brexit Express,GB,1061,0.14,0.09,0.23,0.03,0.33,0.07,0.01,0.03,0.05,0.02
2019-04-09,2019-04-12,Opinium/The Observer,GB,2007,NA,NA,0.29,0.04,0.36,0.08,0.01,0.05,0.11,0.06
2019-04-10,2019-04-11,YouGov/The Times,GB,1843,0.06,0.02,0.28,0.08,0.32,0.11,0.05,0.05,0.03,0
2019-04-05,2019-04-08,Hanbury Strategy/Open Europe,GB,2000,NA,NA,0.31,0.05,0.4,0.08,0.01,0.04,0.08,0.03
2019-04-04,2019-04-08,Kantar Archived 26 June 2019 at the Wayback Machine,GB,1172,NA,NA,0.32,0.04,0.35,0.11,0.01,0.05,0.07,0.05
2019-04-03,2019-04-08,Survation,E+W,6062,NA,0.01,0.37,0.02,0.41,0.1,0.01,NA,0.07,0.01
2019-04-05,2019-04-07,ComRes/The Daily Telegraph,GB,2018,NA,0.09,0.32,0.03,0.32,0.07,0,0.03,0.09,0.05
