start_date,end_date,pollster_client,sample_size,conservative,green,labour,liberal_democrat,scottish_national_party,ukip,other
2017-03-15,2017-03-17,"ComRes/Sunday Mirror, Independent on Sunday",2026,0.42,0.04,0.25,0.12,0.05,0.1,0.02
2017-03-14,2017-03-17,Opinium/Observer,2007,0.41,0.03,0.28,0.08,0.06,0.13,0.01
2017-03-01,2017-03-15,GfK,1938,0.41,0.06,0.28,0.07,0.05,0.12,0.01
2017-03-13,2017-03-14,YouGov/The Times,1631,0.44,0.04,0.27,0.1,0.05,0.09,0.01
2017-03-10,2017-03-14,Ipsos MORI[permanent dead link],1032,0.43,0.04,0.3,0.13,0.04,0.06,0
2017-03-08,2017-03-09,YouGov/The Times,1598,0.44,0.03,0.25,0.1,0.06,0.11,0.01
2017-03-03,2017-03-05,ICM/The Guardian,1787,0.44,0.05,0.28,0.08,0.04,0.11,0
2017-02-27,2017-02-28,YouGov/The Times,1666,0.42,0.04,0.25,0.11,0.06,0.12,0
2017-02-21,2017-02-22,YouGov/The Times,2060,0.41,0.03,0.25,0.11,0.06,0.13,0.01
2017-02-17,2017-02-19,ICM/The Guardian,2028,0.44,0.04,0.26,0.08,0.04,0.13,0.01
2017-02-14,2017-02-16,Opinium/Observer,2004,0.4,0.04,0.27,0.08,0.05,0.14,0.02
2017-02-10,2017-02-14,Ipsos MORI/Evening Standard,1014,0.4,0.04,0.29,0.13,0.05,0.09,0
2017-02-12,2017-02-13,YouGov/The Times,2052,0.4,0.04,0.24,0.11,0.06,0.15,0
2017-02-08,2017-02-10,"ComRes/Sunday Mirror, Independent on Sunday",1218,0.41,0.04,0.26,0.11,0.05,0.11,0.02
2017-02-05,2017-02-06,YouGov/The Times,1984,0.4,0.04,0.24,0.11,0.06,0.14,0.01
2017-02-03,2017-02-05,ICM/The Guardian,1984,0.42,0.04,0.27,0.1,0.05,0.12,0
2017-01-31,2017-02-01,Opinium/Observer,2005,0.37,0.05,0.3,0.08,0.05,0.14,0.01
2017-01-30,2017-01-31,YouGov/The Times,1705,0.4,0.04,0.26,0.11,0.06,0.12,0.01
2017-01-23,2017-01-24,YouGov/The Times,1643,0.4,0.03,0.24,0.1,0.06,0.14,0.03
2017-01-20,2017-01-22,ICM/The Guardian,2052,0.42,0.05,0.26,0.1,0.04,0.13,0
2017-01-17,2017-01-18,YouGov/The Times,1654,0.42,0.03,0.25,0.11,0.06,0.12,0.01
2017-01-13,2017-01-16,Ipsos MORI,1132,0.43,0.04,0.31,0.11,0.04,0.06,0.01
2017-01-13,2017-01-13,Survation/Mail on Sunday,1177,0.38,0.02,0.29,0.1,0.04,0.13,0.04
2017-01-10,2017-01-12,Opinium/Observer,2007,0.38,0.04,0.3,0.07,0.05,0.14,0.02
2017-01-09,2017-01-10,YouGov/The Times,1660,0.39,0.03,0.28,0.11,0.06,0.13,0
2017-01-06,2017-01-08,ICM/The Guardian,2000,0.42,0.04,0.28,0.09,0.04,0.12,0.01
2017-01-03,2017-01-04,YouGov/The Times,1740,0.39,0.04,0.26,0.1,0.06,0.14,0.01
