start_date,end_date,pollster_client,sample_size,conservative,green,labour,liberal_democrat,ukip,other
2015-04-18,2015-04-19,YouGov/The Sun,1675,0.34,0.05,0.35,0.08,0.13,0.05
2015-04-17,2015-04-19,Lord Ashcroft,1002,0.34,0.04,0.3,0.1,0.13,0.09
2015-04-17,2015-04-19,Populus[permanent dead link],2048,0.32,0.04,0.34,0.09,0.15,0.06
2015-04-17,2015-04-19,ICM/The Guardian,1003,0.34,0.05,0.32,0.1,0.11,0.08
2015-04-17,2015-04-18,YouGov/Sunday Times,1780,0.33,0.05,0.36,0.08,0.13,0.05
2015-04-16,2015-04-17,Opinium/The Observer,1955,0.36,0.05,0.32,0.08,0.13,0.06
2015-04-16,2015-04-17,YouGov/The Sun,1713,0.34,0.05,0.34,0.09,0.14,0.04
2015-04-16,2015-04-17,Survation/Daily Mirror,1314,0.34,0.03,0.33,0.07,0.17,0.06
2015-04-15,2015-04-16,Populus,2048,0.33,0.04,0.34,0.09,0.14,0.06
2015-04-15,2015-04-16,YouGov/The Sun,1939,0.34,0.05,0.34,0.07,0.14,0.06
2015-04-14,2015-04-16,Panelbase,1025,0.33,0.04,0.34,0.08,0.16,0.05
2015-04-14,2015-04-15,YouGov/The Sun,1894,0.34,0.05,0.35,0.08,0.13,0.05
2015-04-12,2015-04-15,Ipsos MORI/Evening Standard,1000,0.33,0.08,0.35,0.07,0.1,0.07
2015-04-13,2015-04-14,YouGov/The Sun,1842,0.33,0.05,0.35,0.08,0.13,0.06
2015-04-12,2015-04-13,YouGov/The Sun,2444,0.33,0.06,0.34,0.08,0.13,0.06
2015-04-09,2015-04-13,TNS,1192,0.34,0.05,0.32,0.09,0.14,0.06
2015-04-11,2015-04-12,YouGov/The Sun,1717,0.33,0.05,0.36,0.07,0.13,0.06
2015-04-10,2015-04-12,Lord Ashcroft,1003,0.33,0.06,0.33,0.09,0.13,0.06
2015-04-10,2015-04-12,ICM/The Guardian,1042,0.39,0.07,0.33,0.08,0.07,0.06
2015-04-10,2015-04-12,Populus[permanent dead link],2036,0.33,0.05,0.33,0.08,0.15,0.06
2015-04-10,2015-04-11,YouGov/Sunday Times,1887,0.34,0.06,0.34,0.07,0.13,0.06
2015-04-09,2015-04-10,YouGov/The Sun,1782,0.33,0.05,0.35,0.08,0.13,0.06
2015-04-08,2015-04-09,Opinium/The Observer,1916,0.36,0.06,0.34,0.07,0.11,0.06
2015-04-08,2015-04-09,Populus,2020,0.31,0.06,0.33,0.08,0.16,0.06
2015-04-08,2015-04-09,YouGov/The Sun,1938,0.35,0.04,0.34,0.08,0.12,0.07
2015-04-08,2015-04-09,Survation/Daily Mirror,1111,0.31,0.04,0.35,0.09,0.15,0.06
2015-04-07,2015-04-09,Panelbase,1013,0.31,0.04,0.37,0.08,0.16,0.04
2015-04-07,2015-04-08,"ComRes/ITV News, Daily Mail",1013,0.34,0.04,0.33,0.12,0.12,0.05
2015-04-07,2015-04-08,YouGov/The Sun,1871,0.34,0.05,0.35,0.08,0.13,0.05
2015-04-06,2015-04-07,YouGov/The Sun,1672,0.33,0.05,0.35,0.08,0.14,0.05
2015-04-02,2015-04-07,TNS,1207,0.3,0.04,0.33,0.08,0.19,0.06
2015-04-02,2015-04-06,Populus,2008,0.31,0.04,0.33,0.1,0.15,0.07
2015-04-03,2015-04-04,YouGov/Sunday Times,1906,0.34,0.04,0.33,0.1,0.13,0.06
2015-04-02,2015-04-03,Opinium/The Observer,1974,0.33,0.07,0.33,0.07,0.14,0.06
2015-04-02,2015-04-03,Survation/Daily Mirror,1207,0.31,0.03,0.33,0.09,0.18,0.06
2015-04-01,2015-04-02,YouGov/The Sun,1583,0.37,0.05,0.35,0.07,0.12,0.04
2015-03-31,2015-04-02,Panelbase,1006,0.33,0.05,0.33,0.07,0.17,0.05
2015-03-31,2015-04-01,Populus,2057,0.32,0.05,0.34,0.09,0.15,0.05
2015-03-31,2015-04-01,YouGov/The Sun,1678,0.36,0.04,0.34,0.08,0.13,0.05
2015-03-30,2015-03-31,YouGov/The Sun,1566,0.35,0.05,0.36,0.07,0.12,0.05
2015-03-29,2015-03-30,YouGov/The Sun,2001,0.35,0.05,0.35,0.08,0.12,0.05
2015-03-26,2015-03-30,TNS,1197,0.33,0.05,0.32,0.08,0.16,0.06
2015-03-28,2015-03-29,"ComRes/ITV News, Daily Mail",1005,0.36,0.05,0.32,0.09,0.12,0.06
2015-03-27,2015-03-29,Lord Ashcroft,1004,0.36,0.07,0.34,0.06,0.1,0.07
2015-03-27,2015-03-29,Populus,2004,0.34,0.04,0.34,0.08,0.15,0.05
2015-03-27,2015-03-28,YouGov/Sunday Times,1799,0.32,0.06,0.36,0.08,0.13,0.05
2015-03-25,2015-03-26,Populus,2049,0.31,0.05,0.33,0.09,0.16,0.06
2015-03-25,2015-03-26,YouGov/The Sun,1698,0.36,0.05,0.34,0.07,0.13,0.05
2015-03-24,2015-03-26,Panelbase,1007,0.34,0.06,0.34,0.05,0.15,0.06
2015-03-24,2015-03-25,Opinium/The Observer,1959,0.34,0.07,0.33,0.08,0.13,0.05
2015-03-24,2015-03-25,YouGov/The Sun,1610,0.34,0.06,0.35,0.08,0.12,0.05
2015-03-24,2015-03-25,Survation/Daily Mirror,1007,0.32,0.04,0.33,0.08,0.18,0.05
2015-03-23,2015-03-24,YouGov/The Sun,2006,0.35,0.06,0.35,0.08,0.12,0.04
2015-03-22,2015-03-23,YouGov/The Sun,1641,0.34,0.06,0.34,0.08,0.12,0.06
2015-03-18,2015-03-23,YouGov/The Times,8271,0.34,0.05,0.33,0.08,0.14,0.06
2015-03-20,2015-03-22,"ComRes/ITV News, Daily Mail",1001,0.35,0.07,0.35,0.08,0.1,0.05
2015-03-20,2015-03-22,Lord Ashcroft,1003,0.33,0.05,0.33,0.08,0.12,0.09
2015-03-20,2015-03-22,Populus,2035,0.31,0.05,0.33,0.09,0.16,0.06
2015-03-20,2015-03-21,Survation/Mail on Sunday,1008,0.3,0.03,0.34,0.1,0.17,0.06
2015-03-19,2015-03-20,YouGov/Sunday Times,1532,0.33,0.05,0.35,0.08,0.14,0.05
2015-03-18,2015-03-19,Opinium/The Observer,1979,0.36,0.06,0.33,0.07,0.14,0.04
2015-03-18,2015-03-19,Populus,2020,0.31,0.05,0.34,0.09,0.17,0.04
2015-03-18,2015-03-19,YouGov/The Sun,2293,0.35,0.06,0.33,0.08,0.13,0.05
2015-03-17,2015-03-18,YouGov/The Sun,1752,0.33,0.06,0.34,0.08,0.14,0.05
2015-03-16,2015-03-17,YouGov/The Sun,1830,0.34,0.06,0.36,0.07,0.12,0.05
2015-03-15,2015-03-16,YouGov/The Sun,1683,0.33,0.07,0.35,0.07,0.13,0.05
2015-03-13,2015-03-16,TNS,1188,0.33,0.04,0.32,0.07,0.17,0.07
2015-03-13,2015-03-15,Lord Ashcroft,1002,0.31,0.08,0.29,0.08,0.15,0.09
2015-03-13,2015-03-15,ICM/The Guardian,1001,0.36,0.04,0.35,0.08,0.09,0.08
2015-03-13,2015-03-15,Populus,2041,0.34,0.05,0.34,0.08,0.15,0.04
2015-03-12,2015-03-13,YouGov/Sunday Times,1669,0.34,0.05,0.34,0.07,0.14,0.06
2015-03-11,2015-03-13,"ComRes/Sunday Mirror, Independent on Sunday",2002,0.33,0.04,0.35,0.07,0.16,0.05
2015-03-11,2015-03-12,Populus,2041,0.29,0.06,0.32,0.08,0.18,0.07
2015-03-11,2015-03-12,YouGov/The Sun,1619,0.33,0.06,0.32,0.07,0.16,0.06
2015-03-10,2015-03-12,Opinium/The Observer,1947,0.33,0.07,0.35,0.07,0.14,0.04
2015-03-10,2015-03-11,YouGov/The Sun,1728,0.34,0.05,0.35,0.07,0.14,0.05
2015-03-08,2015-03-11,Ipsos MORI/Evening Standard,1025,0.33,0.06,0.34,0.08,0.13,0.06
2015-03-09,2015-03-10,YouGov/The Sun,1598,0.33,0.06,0.31,0.08,0.15,0.07
2015-03-08,2015-03-09,YouGov/The Sun,1745,0.35,0.06,0.31,0.08,0.14,0.06
2015-03-06,2015-03-08,Lord Ashcroft,1003,0.34,0.08,0.3,0.05,0.15,0.08
2015-03-06,2015-03-08,Populus,2026,0.32,0.06,0.33,0.09,0.15,0.05
2015-03-05,2015-03-06,YouGov/Sunday Times,1754,0.34,0.05,0.33,0.08,0.15,0.05
2015-03-03,2015-03-06,Opinium/The Observer,1961,0.34,0.07,0.34,0.08,0.14,0.03
2015-03-04,2015-03-05,Populus,2063,0.31,0.05,0.33,0.08,0.16,0.07
2015-03-04,2015-03-05,YouGov/The Sun,1748,0.31,0.08,0.35,0.06,0.15,0.05
2015-03-03,2015-03-04,YouGov/The Sun,1544,0.34,0.06,0.34,0.08,0.14,0.04
2015-03-02,2015-03-03,YouGov/The Sun,1701,0.36,0.06,0.34,0.05,0.14,0.05
2015-03-01,2015-03-02,YouGov/The Sun,1866,0.35,0.06,0.32,0.07,0.15,0.05
2015-02-27,2015-03-01,Lord Ashcroft,1003,0.34,0.07,0.31,0.07,0.14,0.07
2015-02-27,2015-03-01,Populus,2056,0.32,0.05,0.34,0.08,0.14,0.07
2015-02-26,2015-02-27,YouGov/Sunday Times,1959,0.34,0.05,0.34,0.08,0.14,0.05
2015-02-25,2015-02-27,Populus,2005,0.31,0.06,0.33,0.09,0.16,0.05
2015-02-25,2015-02-26,YouGov/The Sun,1638,0.33,0.06,0.34,0.08,0.13,0.06
2015-02-24,2015-02-26,Opinium/The Observer,1948,0.34,0.06,0.35,0.06,0.14,0.05
2015-02-24,2015-02-25,YouGov/The Sun,1581,0.33,0.06,0.33,0.08,0.15,0.05
2015-02-23,2015-02-24,YouGov/The Sun,1520,0.35,0.07,0.33,0.06,0.14,0.05
2015-02-23,2015-02-23,Survation/Daily Mirror,1046,0.28,0.04,0.34,0.1,0.19,0.05
2015-02-22,2015-02-23,YouGov/The Sun,1772,0.33,0.07,0.33,0.08,0.13,0.06
2015-02-20,2015-02-23,ComRes/Daily Mail,1004,0.34,0.08,0.32,0.08,0.13,0.05
2015-02-20,2015-02-22,Lord Ashcroft,1004,0.32,0.08,0.36,0.07,0.11,0.06
2015-02-20,2015-02-22,Populus,2059,0.32,0.06,0.32,0.09,0.15,0.06
2015-02-19,2015-02-20,YouGov/Sunday Times,1568,0.33,0.06,0.34,0.08,0.13,0.06
2015-02-17,2015-02-20,Opinium/The Observer,1975,0.35,0.07,0.33,0.06,0.15,0.04
2015-02-18,2015-02-19,Populus,2011,0.31,0.06,0.32,0.09,0.17,0.05
2015-02-18,2015-02-19,YouGov/The Sun,1564,0.32,0.06,0.33,0.09,0.15,0.05
2015-02-17,2015-02-18,YouGov/The Sun,1743,0.32,0.06,0.34,0.08,0.14,0.06
2015-02-16,2015-02-17,YouGov/The Sun,1548,0.33,0.07,0.34,0.06,0.15,0.05
2015-02-15,2015-02-16,YouGov/The Sun,1580,0.32,0.08,0.32,0.06,0.16,0.06
2015-02-12,2015-02-16,TNS,1193,0.28,0.07,0.35,0.06,0.18,0.06
2015-02-13,2015-02-15,Lord Ashcroft,1004,0.3,0.08,0.31,0.09,0.16,0.06
2015-02-13,2015-02-15,Populus,2012,0.31,0.05,0.33,0.1,0.15,0.06
2015-02-13,2015-02-15,ICM/The Guardian,1000,0.36,0.07,0.32,0.1,0.09,0.06
2015-02-12,2015-02-13,YouGov/Sunday Times,1620,0.32,0.07,0.35,0.07,0.15,0.04
2015-02-11,2015-02-12,"ComRes/Sunday Mirror, Independent on Sunday",2017,0.32,0.04,0.34,0.07,0.16,0.07
2015-02-11,2015-02-12,Populus,2055,0.31,0.06,0.34,0.09,0.14,0.06
2015-02-11,2015-02-12,YouGov/The Sun,1592,0.31,0.07,0.34,0.07,0.15,0.06
2015-02-10,2015-02-12,Opinium/The Observer,1969,0.33,0.06,0.35,0.08,0.14,0.04
2015-02-10,2015-02-11,YouGov/The Sun,1764,0.32,0.07,0.33,0.07,0.15,0.06
2015-02-09,2015-02-10,YouGov/The Sun,1677,0.33,0.08,0.35,0.06,0.13,0.05
2015-02-08,2015-02-10,Ipsos MORI/Evening Standard,1010,0.34,0.07,0.36,0.06,0.09,0.08
2015-02-08,2015-02-09,YouGov/The Sun,1552,0.34,0.07,0.33,0.07,0.14,0.05
2015-02-06,2015-02-08,Lord Ashcroft,1003,0.34,0.06,0.31,0.09,0.14,0.06
2015-02-06,2015-02-08,Populus,2003,0.33,0.04,0.34,0.08,0.15,0.06
2015-02-05,2015-02-06,YouGov/Sunday Times,1668,0.32,0.08,0.33,0.07,0.15,0.05
2015-02-03,2015-02-06,Opinium/The Observer,1947,0.32,0.08,0.34,0.07,0.15,0.04
2015-02-04,2015-02-05,Populus,2056,0.31,0.05,0.34,0.08,0.16,0.06
2015-02-04,2015-02-05,YouGov/The Sun,1719,0.32,0.05,0.33,0.09,0.15,0.06
2015-02-03,2015-02-04,YouGov/The Sun,1749,0.34,0.07,0.33,0.06,0.13,0.07
2015-02-02,2015-02-03,YouGov/The Sun,1705,0.33,0.07,0.33,0.07,0.14,0.06
2015-02-01,2015-02-02,YouGov/The Sun,1630,0.33,0.06,0.35,0.07,0.14,0.05
2015-01-30,2015-02-02,Populus,2040,0.31,0.05,0.34,0.08,0.14,0.08
2015-01-29,2015-02-02,TNS,1182,0.27,0.08,0.33,0.06,0.18,0.08
2015-01-30,2015-02-01,Lord Ashcroft,1002,0.31,0.09,0.31,0.08,0.15,0.06
2015-01-29,2015-01-30,YouGov/Sunday Times,1550,0.32,0.06,0.35,0.07,0.15,0.05
2015-01-27,2015-01-30,Opinium/The Observer,1975,0.32,0.06,0.33,0.05,0.18,0.06
2015-01-28,2015-01-29,Populus,2020,0.34,0.04,0.35,0.1,0.14,0.03
2015-01-28,2015-01-29,YouGov/The Sun,1593,0.34,0.07,0.34,0.06,0.14,0.05
2015-01-27,2015-01-28,YouGov/The Sun,1548,0.33,0.07,0.33,0.06,0.16,0.05
2015-01-26,2015-01-27,YouGov/The Sun,1655,0.34,0.07,0.33,0.07,0.14,0.05
2015-01-25,2015-01-26,YouGov/The Sun,1656,0.34,0.07,0.33,0.06,0.15,0.05
2015-01-23,2015-01-26,TNS-BMRB/BBC Radio 4 Woman's Hour,975,0.28,0.08,0.39,0.04,0.14,0.07
2015-01-25,2015-01-25,Survation/Daily Mirror,1014,0.31,0.03,0.3,0.07,0.23,0.06
2015-01-23,2015-01-25,ComRes/The Independent[permanent dead link],1001,0.31,0.07,0.3,0.08,0.17,0.07
2015-01-23,2015-01-25,Populus,2039,0.34,0.06,0.35,0.09,0.13,0.03
2015-01-22,2015-01-25,Lord Ashcroft,1001,0.32,0.09,0.32,0.06,0.15,0.06
2015-01-22,2015-01-23,YouGov/Sunday Times,1578,0.32,0.07,0.32,0.07,0.15,0.07
2015-01-21,2015-01-22,Populus,2049,0.32,0.06,0.36,0.09,0.13,0.04
2015-01-21,2015-01-22,YouGov/The Sun,1640,0.31,0.08,0.33,0.07,0.17,0.04
2015-01-20,2015-01-21,YouGov/The Sun,1645,0.33,0.08,0.34,0.06,0.14,0.05
2015-01-19,2015-01-20,YouGov/The Sun,1570,0.32,0.1,0.3,0.08,0.15,0.05
2015-01-18,2015-01-19,YouGov/The Sun,1747,0.32,0.07,0.32,0.08,0.15,0.06
2015-01-16,2015-01-19,ICM/The Guardian,1002,0.3,0.09,0.33,0.11,0.11,0.06
2015-01-15,2015-01-19,TNS,1188,0.31,0.07,0.31,0.08,0.16,0.07
2015-01-16,2015-01-18,Lord Ashcroft,1004,0.29,0.11,0.28,0.09,0.15,0.08
2015-01-16,2015-01-18,Populus,2036,0.35,0.04,0.36,0.08,0.13,0.04
2015-01-15,2015-01-16,YouGov/Sunday Times,1647,0.31,0.07,0.32,0.07,0.18,0.05
2015-01-14,2015-01-15,YouGov/Sun on Sunday,1763,0.31,0.07,0.33,0.07,0.16,0.06
2015-01-14,2015-01-15,"ComRes/Sunday Mirror, Independent on Sunday[permanent dead link]",2023,0.33,0.03,0.34,0.07,0.18,0.05
2015-01-14,2015-01-15,Populus,2070,0.32,0.06,0.35,0.09,0.14,0.04
2015-01-14,2015-01-15,YouGov/The Sun,1660,0.32,0.08,0.32,0.06,0.16,0.06
2015-01-13,2015-01-15,Opinium/The Observer,1966,0.28,0.06,0.33,0.07,0.2,0.06
2015-01-13,2015-01-14,YouGov/The Sun,1834,0.32,0.07,0.34,0.06,0.15,0.06
2015-01-12,2015-01-13,YouGov/The Sun,1782,0.32,0.07,0.33,0.07,0.14,0.07
2015-01-11,2015-01-13,Ipsos MORI/Evening Standard,1010,0.33,0.08,0.34,0.08,0.11,0.06
2015-01-11,2015-01-12,YouGov/The Sun,1649,0.32,0.06,0.33,0.06,0.17,0.06
2015-01-09,2015-01-11,Lord Ashcroft,1002,0.34,0.08,0.28,0.08,0.16,0.06
2015-01-09,2015-01-11,Populus,2056,0.32,0.04,0.37,0.1,0.13,0.04
2015-01-08,2015-01-09,YouGov/Sunday Times,1684,0.32,0.06,0.32,0.07,0.18,0.05
2015-01-07,2015-01-08,Populus,2046,0.33,0.06,0.34,0.08,0.14,0.05
2015-01-07,2015-01-08,YouGov/The Sun,1753,0.33,0.07,0.33,0.08,0.13,0.06
2015-01-06,2015-01-08,TNS,1201,0.28,0.05,0.35,0.06,0.18,0.08
2015-01-06,2015-01-07,YouGov/The Sun,1707,0.32,0.07,0.33,0.07,0.15,0.06
2015-01-05,2015-01-06,YouGov/The Sun,1769,0.33,0.08,0.33,0.07,0.13,0.06
2015-01-04,2015-01-05,YouGov/The Sun,1728,0.31,0.08,0.34,0.07,0.14,0.06
2015-01-02,2015-01-04,Populus,2046,0.34,0.05,0.36,0.09,0.12,0.04
2015-12-30,2015-01-02,Opinium/The Observer,1970,0.32,0.04,0.33,0.08,0.17,0.06
