Year,Month,Fieldwork,,Published,Polling,Publisher,Con,,M,F,Net,Lab,,M,F,Net,LD,,M,F,Net,Con lead,,
,Mar,23-25,23/03/2007,28,ComRes,Ind,35,-5,34,36,-2,31,2,30,32,-2,20,3,21,18,3,4,-7,Phone
,Mar,26-28,26/03/2007,30,YouGov,DT,39,0,38,40,-2,32,1,32,32,0,17,-2,15,19,-4,7,-1,Internet
,Apr,4-5,04/04/2007,8,YouGov,ST,39,0,36,42,-6,32,0,32,29,3,16,-1,15,17,-2,7,0,Internet
,Apr,13-15,13/04/2007,17,Populus,TT,37,-1,,,,29,-1,,,,20,2,,,,8,0,Phone
,Apr,13-15,13/04/2007,,MORI,,35,-6,34,37,-3,34,0,37,32,5,19,1,17,22,-5,1,-6,Phone
,Apr,19-25,19/04/2007,29,MORI,OB,38,-3,,,,31,-2,,,,20,3,,,,7,-1,F2F
,Apr,20-22,20/04/2007,24,ComRes,Ind,36,1,35,36,-1,27,-4,31,24,7,22,2,16,27,-11,9,5,Phone
,Apr,20-22,20/04/2007,25,ICM,GU,37,-4,,,,30,-1,,,,21,3,,,,7,-3,Phone
,Apr,23-25,23/04/2007,27,YouGov,DT,37,-2,37,37,0,32,0,32,31,1,18,2,15,21,-6,5,-2,Internet
,Apr,25-27,25/04/2007,29,ICM,NOTW,,,,,,,,,,,,,,,,7,0,
,May,1-3,01/05/2007,,YouGov,Harriet Harman deputy leadership campaign,37,0,,,,32,0,,,,16,-2,,,,5,0,Internet
,May,10-11,10/05/2007,12,YouGov,ST,38,1,35,41,-6,34,2,36,31,5,15,-1,14,17,-3,4,-1,Internet
,May,11-13,11/05/2007,15,Populus,TT,37,0,,,,33,4,,,,17,-3,,,,4,-4,Phone
,May,11-13,11/05/2007,,MORI,,33,-2,29,37,-8,32,-2,36,28,8,20,1,18,24,-6,1,0,Phone
,May,17-22,17/05/2007,,MORI,,37,-1,,,,35,4,,,,18,-2,,,,2,-5,F2F
,May,18-20,18/05/2007,24,ICM,GU,34,-3,,,,32,2,,,,21,0,,,,2,-5,Phone
,May,21-23,21/05/2007,26,YouGov,DT,39,1,38,40,-2,33,-1,34,32,2,15,0,14,16,-2,6,2,Internet
,May,25-28,25/05/2007,30,ComRes,Ind,35,-1,33,38,-5,31,4,31,30,1,19,-3,15,22,-7,4,-5,Phone
,May,30-31,30/05/2007,3,ICM,STel,37,3,,,,32,0,,,,21,0,,,,5,3,Phone
,Jun,1-3,01/06/2007,5,Populus,TT,36,-1,,,,33,0,,,,17,0,,,,3,-1,Phone
,Jun,8-10,08/06/2007,,MORI,,36,3,36,36,0,33,1,35,30,5,17,-3,15,18,-3,3,2,Phone
,Jun,14-15,14/06/2007,17,YouGov,ST,37,-2,39,36,3,35,2,33,36,-3,14,-1,13,14,-1,2,-4,Internet
,Jun,14-20,14/06/2007,24,MORI,OB,36,-1,36,35,1,39,4,41,38,3,15,-3,13,17,-4,-3,-5,F2F
,Jun,22-24,22/06/2007,26,ComRes,Ind,37,2,40,35,5,32,1,30,33,-3,18,-1,18,18,0,5,1,Phone
,Jun,27-28,27/06/2007,30,ICM,GU,35,-2,,,,39,7,,,,18,-3,,,,-4,-9,Phone
,Jun,28-29,28/06/2007,30,YouGov,DT,35,-2,34,36,-2,38,3,37,39,-2,15,1,16,14,2,-3,-5,Internet
,Jun,29-1,29/06/2007,3,Populus,TT,34,-2,,,,37,4,,,,18,1,,,,-3,-6,Phone
,Jul,4-5,04/07/2007,8,ICM,SMirror,35,0,,,,37,-2,,,,17,-1,,,,-2,2,Phone
,Jul,6-9,06/07/2007,,MORI,,36,0,38,34,4,40,7,38,42,-4,14,-3,15,13,2,-4,-7,Phone
,Jul,11-13,11/07/2007,15,ICM,STel,33,-2,,,,40,3,,,,19,2,,,,-7,-5,Phone
,Jul,12-17,12/07/2007,22,MORI,OB,35,-1,32,38,-6,41,2,46,37,9,15,0,14,16,-2,-6,-3,F2F
,Jul,19-20,19/07/2007,22,YouGov,ST,33,-2,,,,40,2,,,,15,0,,,,-7,-2,Internet
,Jul,20-22,20/07/2007,25,ICM,GU,32,-1,,,,38,-2,,,,20,1,,,,-6,1,Phone
,Jul,23-25,23/07/2007,27,YouGov,DT,32,-1,30,34,-4,41,1,42,41,1,16,1,17,15,2,-9,-4,Internet
,Jul,27-29,27/07/2007,31,Populus,TT,33,-1,,,,39,2,,,,15,-3,,,,-6,-3,Phone
,Jul,27-29,27/07/2007,31,ComRes,Ind,34,-3,32,35,-3,37,5,41,33,8,16,-2,12,20,-8,-3,-8,Phone
,Aug,3-5,03/08/2007,,MORI,,35,-1,36,34,2,39,-1,38,41,-3,15,1,13,17,-4,-4,0,Phone
,Aug,8-9,08/08/2007,11,MORI,Sun,33,-8,37,30,7,38,4,36,40,-4,15,-3,12,17,-5,-5,-12,Phone
,Aug,9-10,09/08/2007,12,YouGov,ST,32,0,,,,42,1,,,,14,-2,,,,-10,-1,Internet
,Aug,8-10,08/08/2007,12,ICM,SMirror,33,1,,,,39,1,,,,18,-2,,,,-6,0,Phone
,Aug,22-23,22/08/2007,27,ICM,GU,34,1,,,,39,0,,,,18,0,,,,-5,1,Phone
,Aug,23-29,23/08/2007,1,MORI,Sun,36,1,35,37,-2,41,0,43,39,4,16,1,17,15,2,-5,1,F2F
,Aug,24-28,24/08/2007,31,YouGov,DT,33,1,32,35,-3,41,-1,41,42,-1,14,0,14,14,0,-8,2,Internet
,Aug,25-28,25/08/2007,1,Populus,Tories,36,3,,,,37,-2,,,,16,1,,,,-1,5,Phone
,Aug,29-30,29/08/2007,3,ComRes,Ind,36,2,37,35,2,36,-1,34,37,-3,15,-1,15,14,1,0,3,Phone
,Aug,29-31,29/08/2007,3,YouGov,GMTV,35,2,34,37,-3,38,-3,38,39,-1,15,1,17,12,5,-3,5,Internet
,Aug,31-2,31/08/2007,4,Populus,TT,36,0,,,,37,0,,,,18,2,,,,-1,0,Phone
,Aug,31-2,31/08/2007,,MORI,,33,0,35,32,3,39,1,38,39,-1,16,1,14,19,-5,-6,-1,Phone
,Sep,11-12,11/09/2007,17,ComRes,Ind,34,-2,31,37,-6,37,1,40,35,5,15,0,14,17,-3,-3,-3,Phone
,Sep,13-14,13/09/2007,16,YouGov,ST,34,-1,,,,39,1,,,,15,0,,,,-5,-2,Internet
,Sep,13-16,13/09/2007,19,ICM,GU,32,-2,,,,40,1,,,,20,2,,,,-8,-3,Phone
,Sep,19-20,19/09/2007,23,ICM,SMirror,33,1,,,,39,-1,,,,19,-1,,,,-6,2,Phone
,Sep,19-21,19/09/2007,22,YouGov,DT,33,-1,32,31,1,39,0,40,46,-6,16,1,16,14,2,-6,-1,Internet
,Sep,20-22,20/09/2007,24,MORI,Sun,34,1,35,33,2,42,4,41,42,-1,14,-1,12,16,-4,-8,-3,Phone
,Sep,20-26,20/09/2007,3,MORI,,31,-5,33,30,3,44,3,43,46,-3,15,-1,13,17,-4,-13,-8,F2F
,Sep,24-25,24/09/2007,25,YouGov,C4,33,0,35,30,5,44,5,41,47,-6,13,-3,14,13,1,-11,-5,Internet
,Sep,26-27,26/09/2007,29,Populus,TT,31,-5,,,,41,4,,,,17,-1,,,,-10,-9,Phone
,Sep,26-28,26/09/2007,29,YouGov,DT,32,-1,40,46,-6,43,1,32,31,1,15,2,16,14,2,-11,0,Internet
,Sep,27-28,27/09/2007,30,MORI,OB,34,0,31,36,-5,41,-1,40,41,-1,16,2,16,16,0,-7,1,Phone
,Sep,27-29,27/09/2007,30,BPIX,MoS,34,,,,,41,,,,,12,,,,,-7,,Internet
,Oct,2-3,02/10/2007,5,Populus,TT,36,5,,,,39,-2,,,,15,-2,,,,-3,7,Phone
,Oct,3-4,03/10/2007,4,YouGov,C4,36,4,34,37,-3,40,-3,39,41,-2,13,-2,14,11,3,-4,7,Internet
,Oct,3-4,03/10/2007,5,ICM,GU,38,5,,,,38,-1,,,,16,-3,,,,0,6,Phone
,Oct,4-6,04/10/2007,7,BPIX,MoS,39,5,,,,38,-3,,,,12,0,,,,1,8,Internet
,Oct,5-6,05/10/2007,7,YouGov,ST,41,5,39,43,-4,38,-2,39,37,2,11,-2,12,11,1,3,7,Internet
,Oct,5-7,05/10/2007,9,Populus,TT,38,2,,,,40,1,,,,12,-3,,,,-2,1,Phone
,Oct,10,10/10/2007,12,MORI,Sun,41,7,44,38,6,38,-3,35,41,-6,11,-5,10,12,-2,3,10,Phone
,Oct,10-11,10/10/2007,14,ICM,STel,43,5,,,,36,-2,,,,14,-2,,,,7,7,Phone
,Oct,11-13,11/10/2007,14,BPIX,MoS,41,2,,,,37,-1,,,,11,-1,,,,4,3,Internet
,Oct,18-23,18/10/2007,28,MORI,OB,40,9,42,37,5,41,-3,37,45,-8,13,-2,13,12,1,-1,12,F2F
,Oct,22-24,22/10/2007,26,YouGov,DT,41,0,39,42,-3,38,0,39,37,2,11,0,11,11,0,3,0,Internet
,Oct,26-28,26/10/2007,30,ComRes,Ind,41,7,41,41,0,33,-4,31,34,-3,16,1,15,17,-2,8,11,Phone
,Oct,26-28,26/10/2007,30,ICM,GU,40,-3,,,,35,-1,,,,18,4,,,,5,-2,Phone
,Oct,31-1,31/10/2007,3,MORI,Sun,40,-1,40,41,-1,35,-3,33,36,-3,13,2,12,15,-3,5,2,Phone
,Nov,2-4,02/11/2007,6,Populus,TT,36,-2,,,,37,-3,,,,16,4,,,,-1,1,Phone
,Nov,8-10,08/11/2007,11,ICM,S Express,43,3,,,,35,0,,,,15,-3,,,,8,3,Phone
,Nov,14-16,14/11/2007,18,YouGov,ST,41,0,39,42,-3,35,-3,36,33,3,13,2,12,14,-2,6,3,Internet
,Nov,21-22,21/11/2007,22,YouGov,C4,41,0,41,41,0,32,-3,32,32,0,14,1,14,14,0,9,3,Internet
,Nov,21-22,21/11/2007,24,ICM,GU,37,-6,,,,31,-4,,,,21,6,,,,6,-2,Phone
,Nov,22-24,22/11/2007,25,BPIX,MoS,40,-1,,,,35,-2,,,,,,,,,5,1,Internet
,Nov,23-25,23/11/2007,27,ComRes,Ind,40,-1,43,37,6,27,-6,23,32,-9,18,2,16,21,-5,13,5,Phone
,Nov,23-27,23/11/2007,30,MORI,,41,1,41,41,0,32,-3,33,31,2,17,4,17,16,1,9,4,Phone
,Nov,26-28,26/11/2007,30,YouGov,DT,43,2,41,45,-4,32,0,33,31,2,14,0,14,13,1,11,2,Internet
,Nov,28-29,28/11/2007,2,ICM,NOTW,41,4,,,,30,-1,,,,19,-2,,,,11,5,Phone
,Nov,29-7,29/11/2007,11,MORI,,42,2,43,41,2,35,-6,33,37,-4,14,1,13,15,-2,7,8,F2F
,Dec,7-9,07/12/2007,11,Populus,TT,40,4,,,,32,-5,,,,16,0,,,,8,9,Phone
,Dec,13-14,13/12/2007,16,YouGov,ST,45,2,40,49,-9,32,0,34,29,5,14,0,14,14,0,13,2,Internet
,Dec,14-16,14/12/2007,24,ComRes,Ind,41,1,42,41,1,30,3,29,32,-3,16,-2,16,16,0,11,-2,Phone
,Dec,17-19,17/12/2007,21,YouGov,DT,43,-2,42,44,-2,31,-1,32,30,2,16,2,14,17,-3,12,-1,Internet
,Dec,18-19,18/12/2007,,ICM,GU,39,-2,,,,34,4,,,,18,-1,,,,5,-6,Phone
,Dec,20-27,20/12/2007,30,YouGov,ST,40,-3,40,41,-1,35,4,36,33,3,15,-1,14,16,-2,5,-7,Internet
2008,Jan,4-6,04/01/2008,8,Populus,TT,37,-3,,,,33,1,,,,19,3,,,,4,-4,Phone
,Jan,9-10,09/01/2008,12,MORI,Sun,42,1,42,43,-1,32,0,34,30,4,15,-2,13,17,-4,10,1,Phone
,Jan,9-10,09/01/2008,13,ICM,STel,40,1,,,,33,-1,,,,18,0,,,,7,2,Phone
,Jan,10-11,10/01/2008,13,YouGov,ST,43,3,41,45,-4,33,-2,33,32,1,14,-1,13,14,-1,10,5,Internet
,Jan,11-13,11/01/2008,,MORI,,41,-1,45,36,9,32,0,30,33,-3,17,2,16,17,-1,9,-1,Phone
